frame_index,timestamp_sec,detected,arousal,valence,intensity,emotion_label
748,24.958266666666667,True,0.185,-0.037,0.189,Slightly aroused
752,25.091733333333334,True,0.145,0.166,0.22,Slightly delighted
756,25.2252,True,0.092,-0.03,0.097, Neutral
760,25.358666666666668,True,0.052,0.277,0.282,Slightly pleased
764,25.492133333333335,True,0.106,-0.061,0.122,Slightly alarmed
768,25.625600000000002,True,0.085,-0.097,0.129,Slightly annoyed
772,25.759066666666666,True,0.148,0.18,0.233,Slightly delighted
776,25.892533333333333,True,0.187,-0.19,0.267,Slightly afraid
780,26.026,True,0.151,-0.017,0.152,Slightly aroused
784,26.159466666666667,True,0.028,0.037,0.046, Neutral
788,26.292933333333334,True,0.116,0.07,0.135,Slightly delighted
808,26.960266666666666,True,0.195,0.007,0.195,Slightly astonished
812,27.093733333333333,True,0.032,-0.048,0.058, Neutral
816,27.2272,True,0.036,-0.134,0.139,Slightly frustrated
820,27.360666666666667,True,0.072,-0.025,0.076, Neutral
824,27.494133333333334,True,0.092,0.045,0.102,Slightly excited
828,27.6276,True,0.131,-0.308,0.335,Moderately distressed
832,27.761066666666668,True,0.129,0.032,0.133,Slightly excited
836,27.894533333333335,True,0.099,0.059,0.115,Slightly delighted
840,28.028000000000002,True,0.115,-0.018,0.116,Slightly aroused
844,28.161466666666666,True,0.127,0.275,0.303,Slightly happy
848,28.294933333333333,True,0.219,0.147,0.264,Slightly delighted
852,28.4284,True,0.161,0.132,0.208,Slightly delighted
856,28.561866666666667,True,0.095,-0.057,0.111,Slightly alarmed
860,28.695333333333334,True,0.102,0.183,0.21,Slightly happy
864,28.8288,True,0.114,0.077,0.138,Slightly delighted
868,28.962266666666668,True,0.16,0.197,0.254,Slightly delighted
872,29.095733333333335,True,0.066,0.044,0.079, Neutral
876,29.229200000000002,True,0.147,0.032,0.15,Slightly excited
880,29.362666666666666,True,0.109,-0.122,0.164,Slightly annoyed
884,29.496133333333333,True,0.156,0.025,0.158,Slightly astonished
888,29.6296,True,0.227,0.212,0.311,Slightly delighted
892,29.763066666666667,True,0.174,0.139,0.223,Slightly delighted
896,29.896533333333334,True,0.06,-0.238,0.245,Slightly frustrated
900,30.03,True,0.204,0.03,0.206,Slightly astonished
904,30.163466666666668,True,0.433,0.146,0.457,Moderately excited
908,30.296933333333335,True,0.237,0.063,0.245,Slightly excited
912,30.4304,True,0.173,-0.083,0.192,Slightly alarmed
916,30.563866666666666,True,0.167,-0.094,0.192,Slightly alarmed
920,30.697333333333333,True,0.228,0.02,0.229,Slightly astonished
924,30.8308,True,0.124,-0.092,0.154,Slightly afraid
928,30.964266666666667,True,0.295,0.168,0.339,Moderately delighted
932,31.097733333333334,True,0.439,0.187,0.477,Moderately excited
936,31.2312,True,0.133,-0.027,0.136,Slightly aroused
940,31.36466666666667,True,0.094,0.101,0.138,Slightly delighted
944,31.498133333333335,True,0.085,0.181,0.2,Slightly happy
948,31.6316,True,0.036,0.082,0.09, Neutral
952,31.765066666666666,True,0.222,-0.015,0.223,Slightly aroused
956,31.898533333333333,True,0.061,-0.019,0.064, Neutral
960,32.032000000000004,True,0.072,0.059,0.093, Neutral
964,32.16546666666667,True,0.157,0.161,0.225,Slightly delighted
968,32.29893333333333,True,0.282,0.312,0.421,Moderately delighted
972,32.4324,True,0.094,0.004,0.094, Neutral
976,32.565866666666665,True,0.321,-0.138,0.349,Moderately tensed
980,32.699333333333335,True,0.177,0.151,0.233,Slightly delighted
984,32.8328,True,0.292,-0.266,0.395,Moderately afraid
988,32.96626666666667,True,0.25,0.124,0.279,Slightly excited
992,33.09973333333333,True,0.126,-0.106,0.165,Slightly afraid
996,33.233200000000004,True,0.118,0.143,0.185,Slightly delighted
1000,33.36666666666667,True,0.189,0.163,0.25,Slightly delighted
1004,33.50013333333333,True,0.144,0.069,0.16,Slightly excited
1008,33.6336,True,0.195,0.436,0.478,Moderately happy
1012,33.767066666666665,True,0.251,-0.134,0.285,Slightly alarmed
1016,33.900533333333335,True,0.188,0.075,0.202,Slightly excited
1020,34.034,True,0.307,-0.161,0.347,Moderately alarmed
1024,34.16746666666667,True,0.187,-0.07,0.2,Slightly tensed
1028,34.30093333333333,True,0.254,-0.148,0.294,Slightly alarmed
1032,34.434400000000004,True,0.363,-0.116,0.381,Moderately tensed
1036,34.56786666666667,True,0.186,-0.233,0.298,Slightly annoyed
1040,34.70133333333333,True,0.239,0.132,0.273,Slightly delighted
1044,34.8348,True,0.171,0.05,0.178,Slightly excited
1048,34.968266666666665,True,0.216,-0.062,0.225,Slightly tensed
1052,35.101733333333335,True,0.074,0.025,0.078, Neutral
1060,35.36866666666667,True,0.156,0.062,0.168,Slightly excited
1064,35.50213333333333,True,0.106,-0.04,0.113,Slightly tensed
1068,35.635600000000004,True,0.218,0.43,0.482,Moderately happy
1072,35.76906666666667,True,0.227,0.302,0.378,Moderately delighted
1076,35.90253333333333,True,0.401,-0.065,0.406,Moderately aroused
1080,36.036,True,0.245,0.065,0.253,Slightly excited
1084,36.169466666666665,True,0.229,0.422,0.48,Moderately happy
1088,36.302933333333335,True,0.189,0.2,0.275,Slightly delighted
1092,36.4364,True,0.174,0.098,0.2,Slightly delighted
1096,36.56986666666667,True,0.313,0.298,0.432,Moderately delighted
1100,36.70333333333333,True,0.385,0.158,0.416,Moderately excited
1104,36.836800000000004,True,0.345,-0.085,0.355,Moderately aroused
1108,36.97026666666667,True,0.146,0.052,0.155,Slightly excited
1112,37.10373333333333,True,0.444,0.064,0.449,Moderately astonished
1116,37.2372,True,0.293,-0.013,0.293,Slightly astonished
1120,37.370666666666665,True,0.505,0.16,0.53,Moderately excited
1124,37.504133333333336,True,0.406,0.127,0.425,Moderately excited
1128,37.6376,True,0.326,0.425,0.536,Moderately delighted
1132,37.77106666666667,True,0.341,0.132,0.366,Moderately excited
1136,37.90453333333333,True,0.215,0.17,0.274,Slightly delighted
1140,38.038000000000004,True,0.471,0.129,0.488,Moderately excited
1144,38.17146666666667,True,0.276,0.22,0.353,Moderately delighted
1148,38.30493333333333,True,0.264,0.19,0.325,Moderately delighted
1152,38.4384,True,0.402,0.071,0.408,Moderately astonished
1156,38.571866666666665,True,0.206,-0.043,0.21,Slightly aroused
1160,38.705333333333336,True,0.156,0.066,0.169,Slightly excited
1164,38.8388,True,0.135,0.021,0.137,Slightly astonished
1168,38.97226666666667,True,0.29,0.089,0.303,Slightly excited
1172,39.10573333333333,True,0.276,0.154,0.316,Slightly delighted
1176,39.239200000000004,True,0.223,-0.037,0.226,Slightly aroused
1180,39.37266666666667,True,0.168,0.168,0.238,Slightly delighted
1184,39.50613333333333,True,0.377,0.242,0.448,Moderately delighted
1188,39.6396,True,0.263,0.321,0.415,Moderately delighted
1196,39.906533333333336,True,0.362,0.05,0.365,Moderately astonished
1200,40.04,True,0.278,0.138,0.31,Slightly excited
1204,40.17346666666667,True,0.298,-0.081,0.309,Slightly tensed
1208,40.30693333333333,True,0.32,0.336,0.464,Moderately delighted
1212,40.440400000000004,True,0.156,0.161,0.224,Slightly delighted
1216,40.57386666666667,True,0.252,-0.015,0.252,Slightly aroused
1220,40.70733333333333,True,0.244,0.471,0.53,Moderately happy
1224,40.8408,True,0.455,0.074,0.461,Moderately astonished
1228,40.974266666666665,True,0.322,-0.164,0.361,Moderately alarmed
1232,41.107733333333336,True,0.362,-0.071,0.369,Moderately aroused
1236,41.2412,True,0.219,-0.248,0.331,Moderately annoyed
1240,41.37466666666667,True,0.24,0.112,0.265,Slightly excited
1244,41.50813333333333,True,0.279,-0.14,0.312,Slightly alarmed
1248,41.641600000000004,True,0.268,-0.121,0.294,Slightly tensed
1252,41.77506666666667,True,0.132,0.056,0.143,Slightly excited
1256,41.90853333333333,True,0.124,-0.188,0.225,Slightly annoyed
1260,42.042,True,0.301,0.039,0.304,Slightly astonished
1264,42.175466666666665,True,0.29,0.074,0.299,Slightly excited
1268,42.308933333333336,True,0.26,0.319,0.412,Moderately delighted
1272,42.4424,True,0.462,-0.117,0.477,Moderately tensed
1276,42.57586666666667,True,0.476,-0.116,0.49,Moderately aroused
1280,42.70933333333333,True,0.297,-0.257,0.393,Moderately afraid
1284,42.842800000000004,True,0.414,0.071,0.42,Moderately astonished
1288,42.97626666666667,True,0.312,0.522,0.608,Very happy
1292,43.10973333333333,True,0.173,0.186,0.254,Slightly delighted
1296,43.2432,True,0.187,0.08,0.203,Slightly excited
1300,43.376666666666665,True,0.305,-0.048,0.309,Slightly aroused
1304,43.510133333333336,True,0.164,0.135,0.212,Slightly delighted
1308,43.6436,True,0.126,0.131,0.182,Slightly delighted
1312,43.77706666666667,True,0.395,0.349,0.527,Moderately delighted
1316,43.91053333333333,True,0.317,0.012,0.317,Slightly astonished
1320,44.044000000000004,True,0.348,-0.005,0.348,Moderately astonished
